wkt_geom,sid,objectid,c28992r100,inw2014,i2014_014,i2014_1524,i2014_2544,i2014_4564,i2014_65pl,p_auto2014,p_wal2014,p_nwal2014,won2012,wozwon2012,i2014_1564,Disable
"Polygon ((90800.0000000037252903 443699.9999999962747097, 90900 443699.9999999962747097, 90900 443600, 90800.0000000037252903 443600, 90800.0000000037252903 443699.9999999962747097))",353274,353274,E0908N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((91100.0000000037252903 443699.9999999962747097, 91200.0000000037252903 443699.9999999962747097, 91200.0000000037252903 443600, 91100.0000000037252903 443600, 91100.0000000037252903 443699.9999999962747097))",353275,353275,E0911N4436,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((91300 443699.9999999962747097, 91400 443699.9999999962747097, 91400 443600, 91300 443600, 91300 443699.9999999962747097))",353276,353276,E0913N4436,5,0,0,0,0,5,geheim,geheim,geheim,0,-99997,0,4
"Polygon ((91400 443699.9999999962747097, 91500.0000000037252903 443699.9999999962747097, 91500.0000000037252903 443600, 91400 443600, 91400 443699.9999999962747097))",353277,353277,E0914N4436,10,0,0,0,5,5,60% tot 75%,15% tot 25%,10% tot 25%,5,387,5,3
"Polygon ((91500.0000000037252903 443699.9999999962747097, 91600 443699.9999999962747097, 91600 443600, 91500.0000000037252903 443600, 91500.0000000037252903 443699.9999999962747097))",353278,353278,E0915N4436,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,1
"Polygon ((92000 443699.9999999962747097, 92100 443699.9999999962747097, 92100 443600, 92000 443600, 92000 443699.9999999962747097))",353279,353279,E0920N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
"Polygon ((92200.0000000037252903 443699.9999999962747097, 92300.0000000037252903 443699.9999999962747097, 92300.0000000037252903 443600, 92200.0000000037252903 443600, 92200.0000000037252903 443699.9999999962747097))",353280,353280,E0922N4436,15,0,5,0,5,5,90% of meer,geen w. allochtoon,geen nw. allochtoon,5,428,10,7
"Polygon ((92300.0000000037252903 443699.9999999962747097, 92400 443699.9999999962747097, 92400 443600, 92300.0000000037252903 443600, 92300.0000000037252903 443699.9999999962747097))",353281,353281,E0923N4436,10,5,0,0,0,0,60% tot 75%,25% tot 45%,geen nw. allochtoon,5,-99997,0,8
"Polygon ((93800 443699.9999999962747097, 93900 443699.9999999962747097, 93900 443600, 93800 443600, 93800 443699.9999999962747097))",353282,353282,E0938N4436,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,3
"Polygon ((93900 443699.9999999962747097, 94000.0000000037252903 443699.9999999962747097, 94000.0000000037252903 443600, 93900 443600, 93900 443699.9999999962747097))",353283,353283,E0939N4436,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
