wkt_geom,id,name,desc,ModeType,Rh1_Wd/h,Rd2_Wd/h,NRh_Wd/h,Rh1_We/h,Rh2_We/h,NRh_We/h
Point (97129.03000871447147802 436294.03082207607803866),1454,Rivium 1e straat,Buslijn 95 Zone 5311,Bus,7,7,7,5,5,4
Point (97143.03056092400220223 436038.03170628496445715),1455,Rivium 3e straat,Buslijn 95 Zone 5311,Bus,7,7,7,5,5,4
Point (97118.03056739392923191 436039.0308437563944608),1456,Rivium 3e straat,Buslijn 95 Zone 5311,Bus,7,7,7,5,5,4
Point (96939.03124201745958999 435729.03123759716982022),1457,Rivium Promenade,Buslijn 95 Zone 5311,Bus,7,7,7,5,5,4
Point (96907.03121304101659916 435727.03059930942254141),1458,Rivium Promenade,Buslijn 95 Zone 5311,Bus,7,7,7,5,5,4
Point (91328.01702793705044314 443583.01971445314120501),1459,Rodenrijs,Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.,Metro,4,4,2,4,4,2
Point (91338.01728341574198566 443454.01924641715595499),1460,Rodenrijs,Metrolijn E Zone 5320 Dit metrostation is toegankelijk met een rolstoel.,Metro,4,4,2,4,4,2
Point (91385.01726995938224718 443453.01948762533720583),1461,Rodenrijs Metro,"Buslijn 170, Buslijn 173, Buslijn 172 Zone 5320",Bus,16,15,9,15,14,8
Point (92022.01486686218413524 444541.02062397275585681),1462,Rodenrijseweg,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (91998.01484633376821876 444545.02102889074012637),1463,Rodenrijseweg,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (89623.03019915796176065 437629.01585322077153251),1464,Roel Langerakweg,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (89586.03007713376428001 437713.01601844123797491),1465,Roel Langerakweg,Buslijn 32 Zone 5300,Bus,7,6,5,7,5,4
Point (97531.03267916133336257 434835.03189729363657534),1466,Roelantweg,"Buslijn 183, Buslijn 145, Buslijn 140 Zone 5324",Bus,17,16,12,15,15,9
Point (94135.03114361318876036 436341.02511169953504577),1467,Roentgenstraat,Buslijn 48 Zone 5314,Bus,9,6,4,8,7,4
Point (94163.03112307618721388 436349.02499272278510034),1468,15,"Buslijn 66, Buslijn 48 Zone 5314",Bus,15,11,8,12,9,5
Point (94413.0002643093757797 451506.0260555719723925),1469,Rokkeveenseweg,Buslijn 173 Zone 5441,Bus,5,4,2,5,4,2
Point (94415.00028441834729165 451520.02609491173643619),1470,Rokkeveenseweg,Buslijn 173 Zone 5441,Bus,5,4,2,5,4,2
Point (94107.00115619954885915 451092.02588937059044838),1471,Rokkeveenseweg Zuid,Buslijn 170 Zone 5441,Bus,8,8,6,8,8,6
